date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2021-07-19,9,3,34,20,25,0,91
2021-07-20,5,6,32,30,41,3,117
2021-07-21,8,2,25,27,28,3,93
2021-07-22,12,4,26,28,35,1,106
2021-07-23,2,1,23,25,35,2,88
2021-07-24,7,2,26,22,22,2,81
2021-07-25,6,5,27,19,20,1,78
2021-07-26,3,5,28,30,35,1,102
2021-07-27,8,1,23,24,38,1,95
2021-07-28,4,0,26,26,36,1,93
2021-07-29,6,4,31,25,50,1,117
2021-07-30,2,2,30,26,30,0,90
2021-07-31,0,2,23,25,18,1,69
2021-08-01,5,2,22,15,19,0,63
2021-08-02,5,5,25,16,39,0,90
2021-08-03,5,4,34,31,26,4,104
2021-08-04,9,2,23,22,27,5,88
2021-08-05,12,4,35,28,36,2,117
2021-08-06,5,5,32,19,37,1,99
2021-08-07,14,15,59,39,208,10,345
2021-08-08,5,13,32,37,79,6,172
2021-08-09,16,11,63,37,117,16,260
2021-08-10,8,2,38,38,89,2,177
2021-08-11,12,6,35,37,46,3,139
2021-08-12,5,2,23,26,31,3,90
2021-08-13,7,6,37,28,47,0,125
2021-08-14,2,1,24,22,32,0,81
2021-08-15,6,3,15,17,18,2,61
2021-08-16,6,2,49,108,55,3,223
2021-08-17,16,12,48,39,88,8,211
2021-08-18,8,7,25,38,46,4,128
2021-08-19,3,0,38,25,37,3,106
2021-08-20,6,6,34,15,40,2,103
2021-08-21,3,7,28,26,29,1,94
2021-08-22,6,3,14,22,14,2,61
2021-08-23,5,5,25,26,23,3,87
2021-08-24,3,4,13,22,31,3,76
2021-08-25,12,5,31,28,44,2,122
2021-08-26,6,4,21,31,37,0,99
2021-08-27,6,2,35,28,44,1,116
2021-08-28,8,6,20,23,24,1,82
2021-08-29,5,0,15,17,27,3,67
2021-08-30,8,10,43,77,18,0,156
2021-08-31,4,2,44,52,30,1,133
2021-09-01,2,2,24,35,38,0,101
2021-09-02,5,3,50,33,27,3,121
2021-09-03,6,1,38,21,48,4,118
2021-09-04,8,1,34,25,28,0,96
2021-09-05,0,3,18,17,17,1,56
2021-09-06,5,3,31,22,44,1,106
2021-09-07,3,6,17,44,45,2,117
2021-09-08,13,9,41,51,67,1,182
2021-09-09,5,6,22,38,42,1,114
2021-09-10,5,13,32,27,26,1,104
2021-09-11,3,6,17,35,31,2,94
2021-09-12,3,0,17,19,20,2,61
2021-09-13,4,3,19,20,41,4,91
2021-09-14,1,3,33,34,32,2,105
2021-09-15,11,5,27,27,38,5,113
2021-09-16,5,1,25,28,37,3,99
2021-09-17,4,12,27,18,39,0,100
2021-09-18,7,4,18,16,21,3,69
2021-09-19,8,2,16,24,46,1,97
2021-09-20,8,4,26,35,38,0,111
2021-09-21,10,3,27,29,40,1,110
2021-09-22,5,4,28,37,41,1,116
2021-09-23,2,4,47,28,35,0,116
2021-09-24,4,4,30,29,36,2,105
2021-09-25,10,2,15,17,25,0,69
2021-09-26,6,14,24,31,32,0,107
2021-09-27,6,5,22,27,35,1,96
2021-09-28,2,1,39,31,33,4,110
2021-09-29,8,3,21,20,43,1,96
2021-09-30,8,3,23,28,25,0,87
2021-10-01,3,3,19,21,30,2,78
2021-10-02,3,5,10,12,25,0,55
2021-10-03,4,3,22,24,26,1,80
2021-10-04,6,2,23,23,19,0,73
2021-10-05,10,5,21,23,31,5,95
2021-10-06,1,2,33,35,31,1,103
2021-10-07,3,2,31,32,27,1,96
2021-10-08,5,1,33,27,30,5,101
2021-10-09,6,3,23,33,49,2,116
2021-10-10,4,6,23,25,33,1,92
2021-10-11,6,3,22,31,21,4,87
2021-10-12,7,2,30,30,36,0,105
2021-10-13,10,6,30,22,28,1,97
2021-10-14,10,2,43,24,34,1,114
2021-10-15,11,3,42,22,31,0,109
2021-10-16,6,2,32,19,25,1,85
2021-10-17,5,3,18,16,22,4,68
2021-10-18,10,5,29,24,30,3,101
2021-10-19,6,4,29,22,43,1,105
2021-10-20,10,4,28,35,45,2,124
2021-10-21,9,7,25,34,43,0,118
2021-10-22,8,5,40,38,55,2,148
2021-10-23,7,3,18,24,29,1,82
2021-10-24,5,4,29,23,29,1,91
2021-10-25,7,4,31,23,33,3,101
2021-10-26,13,5,33,43,67,0,161
2021-10-27,35,15,55,37,92,4,238
2021-10-28,15,11,44,38,42,2,152
2021-10-29,12,8,42,38,42,0,142
2021-10-30,14,3,28,39,32,3,119
2021-10-31,8,7,24,29,25,3,96
2021-11-01,6,5,29,23,31,2,96
2021-11-02,7,6,44,29,51,3,140
2021-11-03,13,4,33,30,37,4,121
2021-11-04,12,5,36,30,53,3,139
2021-11-05,10,6,39,32,63,1,151
2021-11-06,34,10,63,38,218,7,370
2021-11-07,12,6,52,23,109,2,204
2021-11-08,10,6,64,39,108,2,229
2021-11-09,11,10,48,31,52,4,156
2021-11-10,8,6,35,28,41,3,121
2021-11-11,14,6,37,36,57,2,152
2021-11-12,4,6,35,39,55,2,141
2021-11-13,7,3,20,22,26,3,81
2021-11-14,6,8,26,13,22,3,78
2021-11-15,8,7,34,47,53,3,152
2021-11-16,13,2,50,33,66,5,169
2021-11-17,9,3,27,34,49,2,124
2021-11-18,5,5,26,34,61,3,134
2021-11-19,10,4,36,29,38,3,120
