Date,Open,High,Low,Close,Volume
01/14/2022,"318.87","324.41","316.50","324.13","4,915,639"
01/13/2022,"321.00","323.47","320.10","321.26","4,279,387"
01/12/2022,"320.62","321.05","317.26","320.39","3,583,291"
01/11/2022,"318.61","320.00","315.04","319.80","4,249,181"
01/10/2022,"321.40","322.10","315.12","318.93","5,814,171"
01/07/2022,"315.56","320.20","314.14","319.78","5,622,909"
01/06/2022,"312.98","314.11","310.22","313.22","5,140,613"
01/05/2022,"309.87","314.48","309.50","309.92","6,892,257"
01/04/2022,"301.65","309.21","301.65","308.53","6,006,382"
01/03/2022,"300.10","301.30","299.20","300.79","3,571,121"
12/31/2021,"299.94","300.69","298.84","299.00","2,932,996"
12/30/2021,"300.88","301.65","299.74","299.98","2,301,253"
12/29/2021,"299.23","300.65","298.86","299.46","2,688,431"
12/28/2021,"296.96","299.79","296.80","298.29","2,575,075"
12/27/2021,"295.25","296.69","294.46","296.67","2,807,616"
12/23/2021,"295.22","296.78","294.21","294.49","2,899,917"
12/22/2021,"292.86","294.57","291.74","294.41","2,446,396"
12/21/2021,"292.14","295.41","291.50","293.24","3,931,134"
12/20/2021,"290.78","291.58","287.59","289.61","5,458,419"
12/17/2021,"297.85","298.00","292.35","293.66","12,772,060"
12/16/2021,"296.88","301.58","295.10","300.17","6,542,554"
12/15/2021,"295.82","296.50","292.81","294.58","5,603,061"
12/14/2021,"289.67","296.41","289.67","295.03","5,994,765"
12/13/2021,"288.50","291.58","285.84","290.01","4,888,424"
12/10/2021,"285.49","288.50","284.23","288.23","4,110,315"
12/09/2021,"283.77","284.95","281.78","284.52","3,446,249"
12/08/2021,"284.97","285.97","282.28","283.72","3,257,877"
12/07/2021,"282.42","285.41","282.12","284.97","5,767,826"
12/06/2021,"278.73","283.17","278.73","281.38","5,526,940"
12/03/2021,"278.71","279.97","275.27","277.43","5,925,715"
12/02/2021,"276.68","280.37","275.29","279.09","4,925,721"
12/01/2021,"279.54","281.72","274.79","275.00","5,171,164"
11/30/2021,"279.94","280.20","275.89","276.69","9,928,918"
11/29/2021,"284.00","284.98","281.42","282.12","5,392,385"
11/26/2021,"280.28","284.71","279.76","283.09","4,440,721"
11/24/2021,"287.44","288.32","286.09","287.28","4,924,413"
11/23/2021,"285.15","288.73","285.05","288.56","4,490,739"
11/22/2021,"280.73","286.44","280.01","284.97","5,036,934"
11/19/2021,"280.96","280.97","278.01","279.99","4,542,009"
11/18/2021,"281.10","281.75","279.25","280.63","3,338,256"
11/17/2021,"283.12","283.12","280.90","281.59","3,741,007"
11/16/2021,"284.47","285.16","283.12","283.36","4,260,345"
11/15/2021,"286.60","286.99","284.24","284.67","3,219,074"
11/12/2021,"284.88","286.10","283.80","285.99","2,918,259"
11/11/2021,"286.50","287.07","284.25","284.65","2,861,553"
11/10/2021,"286.49","287.24","284.52","285.32","3,422,235"
11/09/2021,"288.79","288.99","285.30","286.35","3,588,005"
11/08/2021,"290.00","295.65","288.61","288.80","4,723,236"
11/05/2021,"288.83","290.70","286.82","287.88","3,584,224"
11/04/2021,"289.13","289.13","285.25","287.69","3,427,470"
11/03/2021,"287.21","288.88","286.13","288.72","2,775,591"
11/02/2021,"286.61","288.50","285.22","287.93","3,838,375"
11/01/2021,"288.05","288.42","285.62","286.24","2,889,973"
10/29/2021,"288.81","290.00","286.74","287.01","4,421,265"
10/28/2021,"288.21","289.86","287.20","289.72","3,308,755"
10/27/2021,"290.85","290.95","287.64","287.78","3,692,629"
10/26/2021,"290.65","292.22","290.30","290.85","3,884,790"
10/25/2021,"289.70","290.47","287.60","290.26","3,143,636"
10/22/2021,"287.66","289.80","286.24","289.24","3,407,466"
10/21/2021,"286.99","287.28","285.25","286.82","2,488,982"
10/20/2021,"284.34","287.70","284.32","287.49","3,148,731"
10/19/2021,"283.60","285.15","283.05","284.83","2,685,424"
10/18/2021,"282.83","283.51","281.57","282.59","3,552,083"
10/15/2021,"283.94","284.97","282.27","284.21","4,315,875"
10/14/2021,"280.81","282.38","279.30","281.64","3,647,106"
10/13/2021,"278.47","279.41","275.55","277.90","3,312,002"
10/12/2021,"281.46","281.52","278.22","278.62","3,771,281"
10/11/2021,"284.43","285.61","280.80","280.93","2,908,483"
10/08/2021,"282.59","284.72","281.71","284.14","2,300,367"
10/07/2021,"282.14","284.99","282.14","282.95","3,795,242"
10/06/2021,"276.28","280.39","274.61","280.22","3,867,578"
10/05/2021,"273.86","279.67","273.20","278.05","5,070,203"
10/04/2021,"274.68","276.96","273.05","273.64","4,308,740"
10/01/2021,"273.02","277.51","272.22","275.71","3,951,758"
09/30/2021,"278.37","278.37","272.84","272.94","5,189,361"
09/29/2021,"277.03","278.78","275.95","277.29","2,952,031"
09/28/2021,"279.14","281.38","275.82","276.79","4,959,925"
09/27/2021,"279.77","280.63","278.12","279.72","3,359,132"
09/24/2021,"278.30","279.13","277.41","277.87","3,109,731"
09/23/2021,"275.15","279.70","275.01","278.12","4,732,436"
09/22/2021,"276.28","276.61","273.67","274.07","5,019,165"
09/21/2021,"276.03","276.22","272.59","273.18","4,649,584"
09/20/2021,"273.05","274.91","271.36","274.20","7,645,544"
09/17/2021,"277.64","281.00","275.42","276.76","15,864,330"
09/16/2021,"278.96","279.21","276.21","277.51","4,211,260"
09/15/2021,"277.60","279.06","276.67","278.18","3,884,425"
09/14/2021,"280.54","280.78","276.36","277.20","5,283,679"
09/13/2021,"278.36","280.84","277.82","279.92","4,602,220"
09/10/2021,"279.97","279.97","277.49","277.60","4,554,095"
09/09/2021,"278.91","280.11","278.37","278.61","3,684,442"
09/08/2021,"278.18","279.95","277.59","279.34","4,647,350"
09/07/2021,"281.91","281.91","278.73","278.90","4,866,579"
09/03/2021,"284.30","284.82","281.71","281.89","4,497,446"
09/02/2021,"285.35","286.44","284.21","285.05","3,969,981"
09/01/2021,"286.59","287.14","284.85","285.26","3,326,024"
