date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2020-02-12,5,8,29,44,67,6,159
2020-02-13,9,11,30,33,79,3,165
2020-02-14,6,5,46,52,65,3,177
2020-02-15,4,4,38,50,81,2,179
2020-02-16,4,4,23,49,51,4,135
2020-02-17,5,4,27,33,71,0,140
2020-02-18,10,5,41,47,56,2,161
2020-02-19,11,7,46,67,55,0,186
2020-02-20,11,13,48,41,43,1,157
2020-02-21,10,9,44,40,87,4,194
2020-02-22,44,12,82,121,252,15,526
2020-02-23,25,11,77,77,144,12,346
2020-02-24,23,17,72,134,120,7,373
2020-02-25,12,10,50,96,105,3,276
2020-02-26,9,6,46,59,91,4,215
2020-02-27,8,11,36,43,60,3,161
2020-02-28,15,11,48,46,48,3,171
2020-02-29,12,2,30,34,30,4,112
2020-03-01,7,2,22,35,24,4,94
2020-03-02,11,1,36,36,39,1,124
2020-03-03,24,7,32,61,74,1,199
2020-03-04,14,8,23,50,76,0,171
2020-03-05,13,3,49,47,66,0,178
2020-03-06,12,18,48,45,86,0,209
2020-03-07,15,5,26,56,51,1,154
2020-03-08,10,2,21,32,34,1,100
2020-03-09,11,6,41,53,49,5,165
2020-03-10,11,5,31,42,48,0,137
2020-03-11,11,2,39,51,90,3,196
2020-03-12,51,6,48,43,91,4,243
2020-03-13,233,14,93,134,170,4,648
2020-03-14,224,12,117,71,235,4,663
2020-03-15,40,7,46,30,75,0,198
2020-03-16,47,7,48,39,61,0,202
2020-03-17,28,6,42,68,57,3,204
2020-03-18,22,6,39,35,84,3,189
2020-03-19,15,5,31,39,51,2,143
2020-03-20,12,8,31,32,65,3,151
2020-03-21,17,5,26,39,33,0,120
2020-03-22,4,3,25,26,15,0,73
2020-03-23,21,4,31,30,55,1,142
2020-03-24,9,7,30,33,47,2,128
2020-03-25,3,6,35,36,51,3,134
2020-03-26,10,1,30,32,42,2,117
2020-03-27,13,4,24,32,28,3,104
2020-03-28,6,4,35,19,91,3,158
2020-03-29,6,4,22,23,64,2,121
2020-03-30,2,4,21,26,54,3,110
2020-03-31,3,1,27,33,53,3,120
2020-04-01,9,4,35,33,42,3,126
2020-04-02,6,8,78,31,31,0,154
2020-04-03,6,6,38,38,56,1,145
2020-04-04,23,21,83,88,177,3,395
2020-04-05,9,2,35,35,56,2,139
2020-04-06,12,8,51,48,113,4,236
2020-04-07,6,12,42,49,65,1,175
2020-04-08,18,4,31,32,52,2,139
2020-04-09,17,2,24,42,56,0,141
2020-04-10,11,6,63,36,39,1,156
2020-04-11,11,3,35,25,30,2,106
2020-04-12,10,2,26,36,31,2,107
