Date,Open,High,Low,Close,Volume
12/31/2021,"449,945","455,910","449,945","450,662","1,450"
12/30/2021,"453,728","455,000","452,545","452,700","1,555"
12/29/2021,"452,370","453,499","450,655","452,102","1,423"
12/28/2021,"447,562","452,244","446,405","449,570","1,484"
12/27/2021,"444,205","447,285","444,020","447,110","2,522"
12/23/2021,"445,395","448,250","443,525","444,654","1,505"
12/22/2021,"441,460","444,588","440,300","444,588","1,150"
12/21/2021,"441,315","445,379","439,385","443,000","1,349"
12/20/2021,"438,290","439,950","434,055","437,445","1,763"
12/17/2021,"448,850","449,950","441,200","443,304","2,334"
12/16/2021,"447,540","454,550","444,655","454,550","2,227"
12/15/2021,"445,928","447,795","441,611","443,702","2,488"
12/14/2021,"436,865","446,724","434,981","446,104","2,196"
12/13/2021,"435,861","439,700","430,932","437,730","2,086"
12/10/2021,"431,254","435,000","428,402","435,000","1,570"
12/09/2021,"428,933","430,650","425,414","428,402","1,342"
12/08/2021,"430,115","432,745","426,000","427,405","1,153"
12/07/2021,"430,739","431,679","426,200","429,830","1,263"
12/06/2021,"423,201","428,000","420,000","426,200","1,657"
12/03/2021,"421,420","426,000","416,100","418,676","1,736"
12/02/2021,"417,776","422,999","415,526","420,566","1,249"
12/01/2021,"421,536","424,669","415,000","415,660","2,038"
11/30/2021,"423,823","426,125","416,546","416,876","1,947"
11/29/2021,"429,048","432,135","425,000","425,260","1,937"
11/26/2021,"424,233","429,803","421,091","427,833","1,611"
11/24/2021,"434,643","437,139","431,497","433,333","1,473"
11/23/2021,"432,837","435,365","430,100","434,921","2,424"
11/22/2021,"425,225","432,000","422,535","430,100","1,890"
11/19/2021,"422,901","424,300","420,000","423,374","1,558"
11/18/2021,"428,429","428,429","422,223","422,702","1,619"
11/17/2021,"427,651","429,710","424,201","426,198","1,796"
11/16/2021,"429,638","431,849","427,120","427,702","1,518"
11/15/2021,"432,193","434,335","429,079","429,302","1,803"
11/12/2021,"432,614","432,899","427,664","431,575","1,230"
11/11/2021,"431,800","434,399","428,694","429,202","1,421"
11/10/2021,"431,420","433,409","428,940","430,602","1,711"
11/09/2021,"435,345","437,240","430,099","431,680","2,062"
11/08/2021,"439,649","445,000","434,752","435,200","2,805"
11/05/2021,"434,887","437,749","432,114","434,000","1,685"
11/04/2021,"436,463","438,299","429,880","433,102","1,974"
11/03/2021,"433,425","435,140","431,164","435,020","1,445"
11/02/2021,"434,440","434,654","429,800","434,245","1,721"
11/01/2021,"434,513","435,900","430,522","430,944","2,302"
10/29/2021,"435,053","436,512","431,714","432,902","2,073"
10/28/2021,"434,703","436,874","432,517","436,250","2,409"
10/27/2021,"437,527","439,229","433,050","433,050","3,228"
10/26/2021,"437,165","439,850","435,446","437,890","1,902"
10/25/2021,"435,963","437,145","433,064","436,401","1,793"
10/22/2021,"431,720","436,203","429,715","435,722","1,497"
10/21/2021,"432,690","434,800","429,436","431,680","1,414"
10/20/2021,"428,113","433,000","426,112","432,495","1,659"
10/19/2021,"429,335","429,500","425,841","428,105","1,255"
10/18/2021,"428,950","428,950","424,001","426,189","1,458"
10/15/2021,"429,300","429,300","424,945","427,701","1,201"
10/14/2021,"420,866","427,379","420,750","423,648","1,220"
10/13/2021,"417,907","422,180","415,265","418,402","1,232"
10/12/2021,"423,252","424,859","419,000","419,596","1,063"
10/11/2021,"427,172","429,786","423,000","423,000","1,644"
10/08/2021,"425,643","428,479","424,000","427,765","1,290"
10/07/2021,"424,999","428,655","423,517","425,431","1,243"
10/06/2021,"416,406","421,900","413,662","421,900","1,131"
10/05/2021,"413,313","420,959","411,659","418,539","946"
10/04/2021,"415,146","416,804","411,286","412,540","1,449"
10/01/2021,"412,916","417,653","410,100","414,878","1,002"
09/30/2021,"419,311","419,735","411,005","411,379","1,277"
09/29/2021,"417,200","419,719","415,301","417,165","790"
09/28/2021,"419,976","423,225","415,396","416,580","1,027"
09/27/2021,"419,638","422,203","418,928","420,791","893"
09/24/2021,"418,475","420,090","417,561","418,101","890"
09/23/2021,"414,298","420,949","413,700","418,390","1,093"
09/22/2021,"415,671","416,762","411,920","412,081","917"
09/21/2021,"416,571","416,571","411,281","412,802","1,375"
09/20/2021,"411,705","416,000","409,000","416,000","1,777"
09/17/2021,"418,705","421,125","415,000","416,400","1,602"
09/16/2021,"420,170","420,800","416,215","419,120","835"
09/15/2021,"417,358","419,998","416,629","419,785","888"
09/14/2021,"422,300","422,500","416,050","416,996","1,525"
09/13/2021,"418,510","422,523","417,687","420,801","1,260"
09/10/2021,"421,028","421,291","417,942","417,954","940"
09/09/2021,"420,270","421,490","419,136","420,285","992"
09/08/2021,"419,733","421,456","417,925","420,719","1,080"
09/07/2021,"424,688","428,103","419,500","419,851","1,780"
09/03/2021,"428,825","428,825","424,201","424,201","1,375"
09/02/2021,"429,606","431,317","428,000","428,640","965"
09/01/2021,"431,181","433,720","429,000","430,000","962"
